NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Bella Vista CDP, California",3955,148,0,54,100,168,11,06,04926
"Bell Canyon CDP, California",1768,8,12,4,0,30,75,06,04938
"Bellflower city, California",78352,382,324,477,281,430,449,06,04982
"Bell Gardens city, California",39263,23,0,0,51,11,0,06,04996
"Belmont city, California",27820,221,443,370,453,1053,797,06,05108
"Belvedere city, California",2327,28,6,0,6,75,0,06,05164
"Benbow CDP, California",153,0,0,0,0,3,0,06,05262
"Bend CDP, California",414,0,0,0,0,0,0,06,05276
"Benicia city, California",27040,388,113,90,424,1163,140,06,05290
"Ben Lomond CDP, California",7247,162,6,0,249,263,5,06,05332
"Benton CDP, California",393,0,0,0,48,19,0,06,05346
"Benton Park CDP, California",5836,23,5,5,33,54,0,06,05356
"Berkeley city, California",121385,2065,1094,1424,2364,3692,1011,06,06000
"Bermuda Dunes CDP, California",7306,119,0,0,62,296,0,06,06028
"Berry Creek CDP, California",1006,0,3,0,13,15,0,06,06070
"Bertsch-Oceanview CDP, California",2222,11,0,0,26,100,0,06,06150
"Bethel Island CDP, California",1993,0,0,0,0,23,0,06,06210
"Beverly Hills city, California",32406,718,52,39,681,1164,316,06,06308
"Bieber CDP, California",151,15,0,0,0,11,0,06,06336
"Big Bear City CDP, California",12753,203,0,20,249,592,0,06,06406
"Big Bear Lake city, California",5059,33,0,14,50,182,27,06,06434
"Big Bend CDP, California",176,3,0,0,8,9,0,06,06475
"Big Creek CDP, California",97,0,0,0,0,3,0,06,06518
"Biggs city, California",2665,50,0,4,46,86,0,06,06560
"Big Lagoon CDP, California",104,4,0,0,3,7,0,06,06567
"Big Pine CDP, California",1563,0,1,2,9,48,0,06,06616
"Big River CDP, California",1028,7,0,0,8,22,0,06,06635
"Biola CDP, California",1335,0,0,18,0,0,0,06,06728
"Bishop city, California",3802,229,0,14,38,118,0,06,06798
"Blackhawk CDP, California",10622,37,15,59,37,255,114,06,06928
"Blacklake CDP, California",824,0,0,0,0,0,0,06,06935
"Black Point-Green Point CDP, California",1684,22,0,0,107,21,0,06,06982
"Blairsden CDP, California",0,0,0,0,0,0,0,06,06994
"Bloomfield CDP, California",197,0,0,0,6,0,0,06,07036
"Bloomington CDP, California",23051,97,22,0,54,126,37,06,07064
"Blue Lake city, California",841,35,0,0,58,39,0,06,07162
"Bluewater CDP, California",167,0,0,0,8,0,0,06,07172
"Blythe city, California",17949,136,0,27,252,413,20,06,07218
"Bodega CDP, California",547,0,0,0,0,46,0,06,07246
"Bodega Bay CDP, California",1186,35,0,0,0,0,0,06,07260
"Bodfish CDP, California",2320,17,0,0,60,125,0,06,07274
"Bolinas CDP, California",1280,33,0,0,68,48,0,06,07316
"Bombay Beach CDP, California",242,19,0,0,0,0,0,06,07372
"Bonadelle Ranchos CDP, California",5635,57,24,0,44,190,32,06,07378
"Bonita CDP, California",13473,102,112,163,190,204,64,06,07414
"Bonny Doon CDP, California",2858,49,5,6,102,75,7,06,07470
"Bonsall CDP, California",4131,28,0,0,38,212,0,06,07498
"Boonville CDP, California",995,0,0,0,9,11,0,06,07512
"Bootjack CDP, California",337,0,0,0,16,0,0,06,07525
"Boron CDP, California",2469,93,5,12,29,37,6,06,07568
"Boronda CDP, California",1885,11,0,0,0,0,0,06,07578
"Borrego Springs CDP, California",2946,0,0,0,0,33,0,06,07596
"Bostonia CDP, California",16850,528,75,0,384,516,149,06,07624
"Boulder Creek CDP, California",5492,82,0,0,32,374,0,06,07652
"Boulevard CDP, California",359,0,0,0,0,115,0,06,07694
"Bowles CDP, California",226,0,0,0,0,0,0,06,07750
"Boyes Hot Springs CDP, California",7374,51,0,0,81,253,0,06,07848
"Bradbury city, California",767,7,17,5,5,13,23,06,07946
"Bradley CDP, California",85,9,0,0,0,0,0,06,07974
"Brawley city, California",26509,190,0,0,162,396,22,06,08058
"Brea city, California",47099,806,410,438,444,856,1037,06,08100
"Brentwood city, California",64443,893,223,142,215,1584,792,06,08142
"Bret Harte CDP, California",4926,0,0,0,0,11,0,06,08172
"Bridgeport CDP, California",408,0,0,0,0,4,0,06,08240
"Brisbane city, California",4756,40,25,11,27,154,201,06,08310
"Broadmoor CDP, California",4419,0,71,116,0,143,179,06,08338
"Brookdale CDP, California",1128,22,0,0,23,83,0,06,08478
"Brooks CDP, California",0,0,0,0,0,0,0,06,08506
"Brooktrails CDP, California",4440,84,0,0,63,243,0,06,08530
"Buckhorn CDP, California",3196,57,3,0,98,115,0,06,08680
"Buck Meadows CDP, California",0,0,0,0,0,0,0,06,08716
"Bucks Lake CDP, California",19,0,0,0,0,0,0,06,08744
"Buellton city, California",5151,232,0,0,152,470,5,06,08758
"Buena Park city, California",83542,768,1052,1133,787,1397,1963,06,08786
"Buena Vista CDP, California",713,44,0,0,9,0,0,06,08828
"Burbank city, California",106389,2530,932,576,2268,4401,1266,06,08954
"Burbank CDP, California",5234,69,35,105,18,348,9,06,08968
"Burlingame city, California",30995,388,574,413,313,1134,1053,06,09066
"Burney CDP, California",3186,110,0,0,54,116,0,06,09122
"Burnt Ranch CDP, California",228,0,0,0,0,8,0,06,09150
"Butte Creek Canyon CDP, California",690,6,0,0,30,24,0,06,09310
"Butte Meadows CDP, California",0,0,0,0,0,0,0,06,09318
"Butte Valley CDP, California",811,0,0,0,53,5,0,06,09324
"Buttonwillow CDP, California",1148,0,0,0,17,0,0,06,09332
"Byron CDP, California",1918,10,0,0,85,29,0,06,09346
"Bystrom CDP, California",3941,45,48,0,28,20,0,06,09353
"Cabazon CDP, California",1946,0,0,0,18,62,10,06,09360
"Calabasas city, California",23106,348,40,89,265,968,160,06,09598
"Calexico city, California",38599,0,32,21,0,5,34,06,09710
"California City city, California",15002,184,0,29,312,475,35,06,09780
"California Hot Springs CDP, California",20,0,0,0,0,0,0,06,09822
"California Pines CDP, California",272,19,0,0,22,0,0,06,09834
"California Polytechnic State University CDP, California",6983,0,0,0,0,13,0,06,09835
"Calimesa city, California",10366,209,0,0,213,164,5,06,09864
"Calipatria city, California",6579,0,0,0,35,62,20,06,09878
"Calistoga city, California",5191,42,0,4,43,89,0,06,09892
"Callender CDP, California",2444,42,0,13,0,246,0,06,09948
"Calpella CDP, California",674,0,0,0,0,17,0,06,09990
"Calpine CDP, California",95,0,0,0,0,7,0,06,10004
"Calwa CDP, California",2486,0,31,0,54,0,0,06,10032
